Year,Month,Immature ,Mature
2004,5,67,1833
2004,5,383,4520
2004,5,64,1545
2004,5,360,11802
2004,5,821,11601
2004,6,0,54
2004,6,0,631
2004,6,18,516
2004,6,28,881
2004,6,27,256
2004,6,110,614
2004,6,15,213
2004,6,0,17
2004,6,0,112
2004,6,0,4
2004,6,0,0
2004,6,0,0
2004,6,0,0
2004,6,0,0
2004,6,0,10
2004,6,243,2485
2004,6,11,618
2004,6,27,1740
2004,6,26,352
2004,6,70,1563
2004,6,80,858
2004,6,12,306
2004,6,3,437
2004,6,34,151
2004,6,7,29
2004,6,0,0
2004,6,14,123
2004,6,5,84
2004,6,7,324
2004,6,6,168
2004,6,8,167
2004,6,39,313
2004,6,26,150
2004,6,19,297
2004,6,9,691
2004,6,0,355
2004,6,7,119
2004,6,3,97
2004,6,7,478
2004,6,17,253
2004,6,1,0
2004,6,37,14
2004,6,18,205
2004,6,168,877
2004,6,0,0
2004,6,1,13
2004,6,24,212
2004,6,17,307
2004,6,6,52
2004,6,0,49
2004,6,1,41
2004,6,0,4
2004,6,0,11
2004,6,331,9728
2004,6,11,300
2004,6,133,1567
2004,6,29,708
2004,6,255,8365
2004,6,181,2557
2004,7,0,106
2004,7,0,13
2004,7,0,17
2004,7,0,488
2004,7,9,366
2004,7,8,108
2004,7,13,197
2004,7,0,516
2004,7,4,456
2004,7,0,9
2004,7,14,141
2004,7,20,124
2004,7,4,41
2004,7,0,33
2004,7,0,161
2004,7,0,12
2004,7,8,185
2004,7,42,475
2004,7,85,978
2004,7,13,49
2004,7,1,28
2004,7,0,612
2004,7,0,3
2004,7,1,33
2004,7,0,2
2004,7,4,74
2004,7,0,106
2004,7,3,76
2004,7,34,334
2004,7,48,550
2004,7,2,77
2004,7,14,130
2004,7,1,83
2004,7,0,112
2004,7,0,169
2004,7,7,681
2004,7,54,488
2004,7,12,106
2004,7,84,488
2004,7,70,1563
2004,7,35,1770
2004,7,4,157
2004,7,8,34
2004,7,0,44
2004,7,0,52
2004,7,0,76
2004,7,14,989
2004,7,170,1239
2004,7,10,8
2004,7,282,526
2004,7,9,236
2004,7,15,254
2004,7,0,0
2004,7,10,39
2004,7,0,166
2004,7,19,117
2004,7,70,329
2004,7,8,8
2004,7,0,111
2004,7,0,277
2004,7,0,815
2004,7,6,144
2004,8,0,167
2004,8,0,10
2004,8,0,147
2004,8,0,120
2004,8,11,465
2004,8,59,779
2004,8,24,355
2004,8,6,692
2004,8,0,102
2004,8,0,1
2004,8,0,7
2004,8,0,40
2004,8,19,182
2004,8,33,207
2004,8,24,224
2004,8,0,17
2004,8,0,0
2004,8,0,2
2004,8,0,6
2004,8,0,2
2004,8,0,31
2004,8,0,21
2004,8,6,139
2004,8,94,1052
2004,8,17,191
2004,8,1,28
2004,8,13,39
2004,8,23,83
2004,8,1,29
2004,8,0,73
2004,8,0,6
2004,8,12,353
2004,8,9,353
2004,8,56,1637
2004,8,97,1898
2004,8,0,10
2004,8,20,192
2004,8,36,417
2004,8,4,136
2004,8,4,35
2004,8,1,90
2004,8,0,18
2004,8,0,66
2004,8,8,749
2004,8,156,1401
2004,8,35,319
2004,8,24,140
2004,8,10,228
2004,8,16,790
2004,8,4,178
2004,8,0,19
2004,8,0,28
2004,8,0,49
2004,8,0,11
2004,8,7,478
2004,8,213,1553
2004,8,171,132
2004,8,75,139
2004,8,13,354
2004,8,6,104
2004,8,0,0
2004,8,0,21
2004,8,12,70
2004,8,53,249
2004,8,323,323
2004,8,0,80
2004,8,0,0
2004,8,0,0
2004,9,0,132
2004,9,0,5
2004,9,0,5
2004,9,1,9
2004,9,8,117
2004,9,0,98
2004,9,2,181
2004,9,0,36
2004,9,0,5
2004,9,5,158
2004,9,2,37
2004,9,0,32
2004,9,12,113
2004,9,3,18
2004,9,1,11
2004,9,0,1
2004,9,0,33
2004,9,0,41
2004,9,0,20
2004,9,0,36
2004,9,9,31
2004,9,5,46
2004,9,0,20
2004,9,0,0
2004,9,1,457
2004,9,0,118
2004,9,0,20
2004,9,0,26
2004,9,0,0
2004,9,0,0
2004,9,0,19
2004,9,0,3
2004,9,0,0
2004,9,0,1
2004,9,7,150
2004,9,145,1623
2004,9,70,801
2004,9,11,537
2004,9,50,149
2004,9,5,17
2004,9,0,13
2004,9,0,62
2004,9,0,1
2004,9,0,0
2004,9,0,1
2004,9,0,61
2004,9,27,772
2004,9,75,3030
2004,9,144,4232
2004,9,87,1717
2004,9,0,290
2004,9,24,664
2004,9,36,357
2004,9,55,627
2004,9,1,55
2004,9,0,3
2004,9,1,82
2004,9,0,102
2004,9,0,784
2004,9,17,1578
2004,9,71,640
2004,9,62,557
2004,9,63,361
2004,9,33,732
2004,9,11,542
2004,9,0,3
2004,9,0,1
2004,9,0,121
2004,9,0,870
2004,9,0,45
2004,9,5,388
2004,9,88,641
2004,9,229,177
2004,9,52,97
2004,9,0,41
2004,9,11,63
2004,9,25,118
2004,9,942,942
2004,10,0,0
2004,10,0,0
2004,10,0,0
2004,10,42,523
2004,10,4,117
2004,10,3,7
2004,10,0,1
2004,10,8,114
2004,10,0,41
2004,10,0,10
2004,10,0,44
2004,10,0,13
2004,10,0,133
2004,10,5,201
2004,10,0,0
2004,10,0,0
2004,10,0,23
2004,10,6,718
2004,10,42,1516
2004,10,119,1843
2004,10,4,880
2004,10,8,217
2004,10,0,59
2004,10,0,10
2004,10,0,205
2004,10,24,731
2004,10,53,2245
2004,10,0,1631
2004,10,91,2767
2004,10,0,1276
2004,10,1,334
2004,10,0,67
2004,10,21,171
2004,10,1,252
2004,10,10,30
2004,10,36,416
2004,10,2,174
2004,10,3,680
2004,10,12,1508
2004,10,42,1047
2004,10,0,0
2004,10,0,133
2004,10,0,139
2004,10,0,442
2004,10,2,593
2004,10,0,41
2004,10,0,1098
2004,10,0,42
2004,10,6,747
2004,10,634,845
2004,10,1410,2442
2004,10,129,192
2004,10,0,23
2004,10,0,0
2004,10,0,0
2004,10,61,481
2004,10,226,281
2004,10,5,70
2004,10,0,0
2004,10,0,0
2004,10,0,0
2004,10,0,0
2004,10,0,0
2004,11,0,0
2004,11,0,0
2004,11,33,409
2004,11,4,98
2004,11,3,199
2004,11,13,189
2004,11,2,229
2004,11,0,152
2004,11,0,77
2004,11,0,44
2004,11,0,104
2004,11,2,75
2004,11,0,0
2004,11,0,0
2004,11,0,8
2004,11,0,0
2004,11,0,0
2004,11,29,3449
2004,11,82,2913
2004,11,143,2205
2004,11,0,0
2004,11,0,8
2004,11,0,2470
2004,11,85,2615
2004,11,76,3181
2004,11,0,2588
2004,11,16,477
2004,11,0,916
2004,11,0,85
2004,11,0,103
2004,11,36,284
2004,11,1,261
2004,11,931,2721
2004,11,328,3745
2004,11,12,870
